ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
6745,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Clementine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-01-17,1
6746,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Bäckerei,Russische Föderation,Keine Angabe,Kunststoff/-folie,2023-04-20,4
6747,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Israel,Keine Angabe,Keine Angabe,2023-11-06,11
6748,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Reformhaus/Naturkostladen,Deutschland,Unverarbeitet/roh,Unverpackt,2023-09-05,9
6749,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Marokko,Keine Angabe,Keine Angabe,2023-07-05,7
6751,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Tofu,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Singapur,Keine Angabe,Kunststoff/-folie,2023-01-03,1
6752,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Schale/Rinde/Kruste behandelt,Polyethylen,2023-01-09,1
6753,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Keine Angabe,2023-10-09,10
6754,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Grüne Bohne tiefgefroren,Lebensmittellager Zentrallager,Ungeklärt,Tiefgekühlt/tiefgefroren,Keine Angabe,2023-03-28,3
6755,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Unverarbeitet/roh,Kunststoff/-folie,2023-04-18,4
6756,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-02-15,2
6757,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Brotfabrik/Großbäckerei,Ungeklärt,Unverarbeitet/roh,Unverpackt,2023-08-25,8
6758,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Island,Ohne Haut,Verpackt,2023-06-14,6
6759,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Einzelhändler,Ohne Angabe,Keine Angabe,Missing,2023-04-04,4
6760,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Vollbier hell untergärig,Brauerei,Deutschland,Verzehrsfertig/tischfertig vor-/zubereitet,Glas bunt,2023-11-07,11
6761,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Kunststoff/-folie,2023-10-16,10
6762,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tunesien,Entsteint/entstielt,Kunststoff/-folie,2023-11-20,11
6763,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Marktstand,Italien,Unverarbeitet/roh,Unverpackt,2023-05-03,5
6764,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Imbissbetrieb einschl. mobile Einrichtung,"Korea, Demokratische Volksrepublik",Keine Angabe,Kunststoff/-folie,2023-03-28,3
6765,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Keine Angabe,2023-06-14,6
6766,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Schale/Rinde/Kruste behandelt,Kunststoff/-folie,2023-01-25,1
6767,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Algen getrocknet,Nahrungsergänzungsmitteleinzelhandel,Deutschland,Keine Angabe,Keine Angabe,2023-04-17,4
6768,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittellager Zentrallager,Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-01-10,1
6769,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Keine Angabe,2023-04-17,4
6770,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-10-16,10
6771,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittellager Zentrallager,Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-15,2
6773,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-07-10,7
6774,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Unverpackt,2023-02-13,2
6776,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Tofu,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Europäische Union,Keine Angabe,Verpackt,2023-09-19,9
6777,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Keine Angabe,2023-03-13,3
6779,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Legehennenhalter,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-11-15,11
6780,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-09-18,9
6781,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Keine Angabe,2023-02-09,2
6782,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Lager,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Verzehrsfertig/tischfertig vor-/zubereitet,Glas bunt,2023-10-30,10
6783,0,Monitoring-Projektprobe,Käse,Parmigiano Reggiano Hartkäse andere,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Italien,Zerkleinert,Kunststoffverbundfolie,2023-03-23,3
6784,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Unverpackt,2023-01-11,1
6785,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Korea, Republik",Getrocknet,Kunststoff/-folie,2023-10-09,10
6786,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Miesmuschel (Mytilus sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Chile,Keine Angabe,Keine Angabe,2023-07-10,7
6787,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Griechenland,Unverarbeitet/roh,Unverpackt,2023-04-25,4
6788,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Schlachtbetrieb privat,Deutschland,Keine Angabe,Keine Angabe,2023-09-28,9
6789,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Kanada,Getrocknet,Verpackt,2023-01-09,1
6790,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittellager Zentrallager,Ungeklärt,Keine Angabe,Keine Angabe,2023-06-26,6
6791,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Unverpackt,2023-01-10,1
6793,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Kunststoff/-folie,2023-03-27,3
6794,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstücke Lamm/Schaf auch tiefgefroren,Großhändler von Fleisch und Fleischerzeugnissen,Neuseeland,Keine Angabe,Keine Angabe,2023-03-22,3
6795,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Brotfabrik/Großbäckerei,Ungeklärt,Unverarbeitet/roh,Unverpackt,2023-02-28,2
6796,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Polypropylen,2023-02-20,2
6797,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gereinigt,Verpackt,2023-03-13,3
6799,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Schale/Rinde/Kruste behandelt,Kunststoff/-folie,2023-01-12,1
6801,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Marokko,Unverarbeitet/roh,Kunststoff/-folie,2023-06-26,6
6802,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Aprikose getrocknet,Drogerie/Parfümerie,Türkei,Ungeschwefelt,Verpackt,2023-12-04,12
6803,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Tofu,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Kombinationsverpackung aus Pappe und Folie,2023-01-26,1
6804,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Keine Angabe,2023-05-30,5
6806,1,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Kunststoff/-folie,2023-01-27,1
6807,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Marktstand,Deutschland,Keine Angabe,Keine Angabe,2023-07-06,7
6809,0,Monitoring-Planprobe,Getreide,Basmatireis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gereinigt,Verpackt,2023-06-20,6
6810,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-07-12,7
6811,0,EG(KKP)- und Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-10-18,10
6812,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Großhändler Importeure und Exporteure von Lebensmitteln,Ungeklärt,Getrocknet,Kunststoff/-folie,2023-01-31,1
6813,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gemahlen/geschrotet,Glas,2023-05-09,5
6814,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Ungeschält,Kunststoff/-folie,2023-02-07,2
6815,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Miesmuschel (Mytilus sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Chile,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-01-10,1
6816,1,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Geröstet,Kunststoff/-folie,2023-04-13,4
6818,0,EG(KKP)- und Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tschechische Republik,Keine Angabe,Kunststoff/-folie,2023-10-16,10
6819,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Großhändler von Fleisch und Fleischerzeugnissen,Europa,Tiefgekühlt/tiefgefroren,Verpackt,2023-02-13,2
6820,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Verpackt,2023-02-20,2
6821,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Türkei,Unverarbeitet/roh,Unverpackt,2023-07-12,7
6822,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittellager Zentrallager,Italien,Keine Angabe,Keine Angabe,2023-02-06,2
6823,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Spanien,Keine Angabe,Keine Angabe,2023-07-04,7
6824,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Schlachthof/Schlachtbetrieb,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-07-18,7
6826,0,EG(KKP)- und Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Indien, einschl. Sikkim und Goa",Ungeschält,Papier,2023-05-04,5
6827,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 812,Großhändler von Milch und Erzeugnissen auf Milchbasis,Ungeklärt,Gemahlen/geschrotet,Papier,2023-08-07,8
6828,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kombinationsverpackung aus Pappe und Folie,2023-07-10,7
6829,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittellager Zentrallager,Südafrika,Keine Angabe,Keine Angabe,2023-07-11,7
6830,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittellager Zentrallager,Deutschland,Gemahlen/geschrotet,Kunststoff/-folie,2023-08-10,8
6831,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),"Frankreich, einschl. Korsika",Keine Angabe,Kunststoff/-folie,2023-03-23,3
6832,0,Monitoring-Planprobe,Getreide,Roggenkörner,Erzeuger von Gemüse,Deutschland,Keine Angabe,Kunststoff/-folie,2023-03-30,3
6834,0,Monitoring-Projektprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Fischgeschäft und (eigenständige) -verkaufsabteilung,"Korea, Republik",Getrocknet,Kunststoff/-folie,2023-09-19,9
6835,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Keine Angabe,2023-02-28,2
6836,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Küchenfertig vor-/zubereitet,Verpackt,2023-02-15,2
6837,0,EG(KKP)- und Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Sauerkirsche tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Polen,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-06-20,6
6838,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-05-11,5
6839,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ägypten,Unverarbeitet/roh,Kombinationsverpackung aus Pappe und Folie,2023-05-23,5
6840,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Keine Angabe,2023-01-10,1
6843,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unbehandelt,Verpackt,2023-07-05,7
6844,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-07-04,7
6845,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Miesmuschel (Mytilus sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Keine Angabe,2023-01-17,1
6846,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Vollbier Pils,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Verzehrsfertig/tischfertig vor-/zubereitet,Metallverpackungen,2023-11-16,11
6847,0,EG(KKP)- und Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-10-16,10
6848,0,EG(KKP)- und Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-10-12,10
6849,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Ohne Haut,Verpackt,2023-07-17,7
6850,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau (Gadus morhua) Seefisch,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Polen,Ohne Haut,Kunststoff/-folie,2023-05-09,5
6851,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Speisegaststätte,Ungeklärt,Keine Angabe,Keine Angabe,2023-05-02,5
6852,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gemahlen/geschrotet,Papier,2023-03-14,3
6853,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unbehandelt,Verpackt,2023-07-17,7
6854,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Direktvermarkter/Verkaufsstelle Obst und Gemüse,Deutschland,Unverarbeitet/roh,Umhüllt,2023-06-28,6
6855,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Verpackt,2023-09-06,9
6856,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ägypten,Ungeschält,Kunststoff/-folie,2023-04-03,4
6857,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Ungeschält,Kunststoff/-folie,2023-01-18,1
6859,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-02-28,2
6860,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-10-17,10
6861,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-02-08,2
6863,0,Monitoring-Planprobe,Getreide,Roggenkörner,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-09-04,9
6864,0,Monitoring-Projektprobe,Käse,Grana Padano Hartkäse andere,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Gegoren/fermentiert,Kunststoff/-folie,2023-04-11,4
6866,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-08-22,8
6867,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Gewürzmühle Hersteller von Gewürzzubereitungen und würzenden Lebensmitteln,Ungeklärt,Gemahlen/geschrotet,Glas farblos,2023-06-06,6
6868,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Obst- und Gemüseeinzelhandel und (eigenständige) -verkaufsabteilung,Ungeklärt,Keine Angabe,Keine Angabe,2023-07-18,7
6869,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Bäckerei,Ohne Angabe,Keine Angabe,Keine Angabe,2023-02-21,2
6871,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Prawns (Aristeomorpha sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Venezuela,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-02-01,2
6873,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Direktvermarkter/Verkaufsstelle Obst und Gemüse,Deutschland,Keine Angabe,Keine Angabe,2023-08-31,8
6874,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Einzelhandel von Bedarfsgegenständen mit Lebensmittelkontakt,Deutschland,Gemahlen/geschrotet,Kunststoff/-folie,2023-03-20,3
6875,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Großhändler von Obst und Gemüse und -erzeugnissen,Italien,Unverarbeitet/roh,Kunststoff/-folie,2023-10-25,10
6877,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Unverarbeitet/roh,Unverpackt,2023-06-13,6
6879,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Unverarbeitet/roh,Verpackt,2023-08-02,8
6880,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Einzelhändler,Niederlande,Keine Angabe,Keine Angabe,2023-06-23,6
6881,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Kirsche getrocknet,Hersteller von Getreideprodukten einschl. Backvormischungen,Ungarn,Ungeschwefelt,Keine Angabe,2023-07-13,7
