ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
5150,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gereinigt,Verpackt,2023-01-18,1
5151,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Fleischerei/Metzgerei mit Schlachthaus,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-04-27,4
5152,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Kunststoff/-folie,2023-02-01,2
5153,0,Monitoring-Projektprobe,Milch,Vollmilch pasteurisiert nicht standardisiert,Milcherzeuger,Deutschland,Unbehandelt,Unverpackt,2023-02-14,2
5154,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Geißelgarnele (Penaeidae sp.),Sonderpostenverkauf,Bangladesch,Küchenfertig vor-/zubereitet,Kombinationsverpackung aus Pappe und Folie,2023-03-23,3
5155,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Agenturen und Makler für Lebensmittel (Büros),Tunesien,Keine Angabe,Kunststoff/-folie,2023-08-15,8
5156,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Kasachstan,Keine Angabe,Kunststoff/-folie,2023-10-09,10
5157,0,Monitoring-Projektprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),"Korea, Republik",Keine Angabe,Verpackt,2023-05-10,5
5158,0,Monitoring-Planprobe,Käse,Blauschimmelkäse Vollfettstufe,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Kunststoff/-folie,2023-05-02,5
5159,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tunesien,Getrocknet,Verpackt,2023-08-30,8
